"secao","divisao","grupo","classe","subclasse","denominacao"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE CEREAIS","0111301","CULTIVO DE ARROZ"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE CEREAIS","0111302","CULTIVO DE MILHO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE CEREAIS","0111303","CULTIVO DE TRIGO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE CEREAIS","0111399","CULTIVO DE OUTROS CEREAIS NÃO ESPECIFICADOS ANTERIORMENTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE ALGODÃO HERBÁCEO E DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA","0112101","CULTIVO DE ALGODÃO HERBÁCEO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE ALGODÃO HERBÁCEO E DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA","0112102","CULTIVO DE JUTA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE ALGODÃO HERBÁCEO E DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA","0112199","CULTIVO DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE CANA-DE-AÇÚCAR","0113000","CULTIVO DE CANA DE AÇÚCAR"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE FUMO","0114800","CULTIVO DE FUMO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE SOJA","0115600","CULTIVO DE SOJA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA","0116401","CULTIVO DE AMENDOIM"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA","0116402","CULTIVO DE GIRASSOL"
